Location,Latitude,Longitude
Oljato-Monument Valley,37.03,-110.25
Ophir town,40.37,-112.26
Orangeville city,39.23,-111.06
Orderville town,37.25,-112.66
Orem city,40.3,-111.7
Palmyra,40.15,-111.7
Panguitch city,37.82,-112.44
Paradise town,41.57,-111.83
Paragonah town,37.89,-112.77
Park City city,40.64,-111.5
Parowan city,37.83,-112.83
Payson city,40.04,-111.73
Peoa,40.73,-111.34
Perry city,41.46,-112.04
Peter,41.77,-111.99
Pine Valley,37.39,-113.51
Plain City city,41.31,-112.09
Pleasant Grove city,40.37,-111.74
Pleasant View city,41.32,-112
Plymouth town,41.88,-112.14
Portage town,41.98,-112.24
Price city,39.6,-110.8
Providence city,41.7,-111.81
Provo city,40.25,-111.65
Randlett,40.23,-109.83
Randolph town,41.66,-111.18
Redmond town,39.01,-111.87
Richfield city,38.76,-112.09
Richmond city,41.92,-111.81
River Heights city,41.72,-111.82
Riverdale city,41.17,-112
Riverside,41.81,-112.14
Riverton city,40.52,-111.96
Rockville town,37.15,-113.05
Rocky Ridge town,39.92,-111.83
Roosevelt city,40.29,-110
Roy city,41.17,-112.05
Rush Valley town,40.36,-112.45
Salem city,40.05,-111.67
Salina city,38.94,-111.87
Salt Lake City city,40.78,-111.93
Samak,40.63,-111.22
Sandy city,40.57,-111.85
Santa Clara city,37.13,-113.66
Santaquin city,39.97,-111.79
Saratoga Springs city,40.35,-111.91
Scipio town,39.25,-112.1
Scofield town,39.72,-111.16
Sigurd town,38.85,-111.97
Silver Summit,40.74,-111.49
Smithfield city,41.83,-111.83
Snowville town,41.97,-112.72
Snyderville,40.7,-111.54
South Jordan city,40.56,-111.98
South Ogden city,41.17,-111.96
South Salt Lake city,40.71,-111.9
South Weber city,41.13,-111.94
South Willard,41.36,-112.04
Spanish Fork city,40.11,-111.64
Spanish Valley,38.47,-109.42
Spring City city,39.48,-111.49
Spring Glen,39.66,-110.85
Spring Lake,40.01,-111.75
Springdale town,37.18,-113
Springville city,40.16,-111.62
St. George city,37.08,-113.58
Stansbury Park,40.64,-112.3
Sterling town,39.19,-111.69
Stockton town,40.45,-112.37
Summit,37.8,-112.94
Summit Park,40.74,-111.58
Sunnyside city,39.55,-110.4
Sunset city,41.14,-112.03
Sutherland,39.39,-112.64
Syracuse city,41.09,-112.07
Tabiona town,40.35,-110.71
Taylorsville city,40.66,-111.95
Teasdale,38.29,-111.47
Thatcher,41.68,-112.32
Thompson Springs,38.96,-109.7
Timber Lakes,40.47,-111.25
Tooele city,40.54,-112.31
Toquerville town,37.26,-113.29
Torrey town,38.3,-111.42
Tremonton city,41.72,-112.19
Trenton town,41.91,-111.93
Tropic town,37.63,-112.09
Tselakai Dezza,37.21,-109.61
Uintah town,41.14,-111.93
Vernal city,40.45,-109.54
Vernon town,40.09,-112.45
Veyo,37.34,-113.69
Vineyard town,40.31,-111.75
Virgin town,37.21,-113.21
Wales town,39.49,-111.64
Wallsburg town,40.39,-111.42
Wanship,40.82,-111.42
Washington city,37.13,-113.49
Washington Terrace city,41.17,-111.98
Wellington city,39.53,-110.73
Wellsville city,41.63,-111.94
Wendover city,40.72,-114.02
West Bountiful city,40.9,-111.91
West Haven city,41.21,-112.05
West Jordan city,40.6,-112
West Mountain,40.06,-111.79
West Point city,41.12,-112.1
West Valley City city,40.69,-112.01
West Wood,39.61,-110.84
White City,40.57,-111.86
White Mesa,37.46,-109.46
Whiterocks,40.47,-109.94
Willard city,41.41,-112.04
Wolf Creek,41.33,-111.83
Woodland,40.58,-111.24
Woodland Hills city,40.01,-111.65
Woodruff town,41.52,-111.16
Woods Cross city,40.87,-111.92
