"","Cst_Cnt","Sta_ID","Depthm","T_degC","Salnty","O2ml_L","O2Sat","Oxy_µmol.Kg","ChlorA","Phaeop","PO4uM","SiO3uM","NO2uM","NO3uM","NH3uM","C14A1q","C14A2q"
"857465",34122,"086.7 060.0",0,15.132,33.3579,5.736,100.1,250.41,0.436,0.242,0.32,2.48,0.023,0.08,0.04,9,9
"857497",34123,"086.7 070.0",0,15.496,33.3404,5.727,100.66,250.09,0.266,0.09,0.34,2.04,0.017,0.07,0.16,9,9
"857532",34124,"086.7 080.0",0,15.153,33.3165,5.765,100.62,251.8,0.279,0.087,0.31,1.98,0.018,0,0,NA,NA
"857569",34125,"086.7 090.0",0,16.136,33.2057,5.663,100.73,247.3,0.124,0.043,0.28,1.82,0.01,0.04,0.13,9,9
"857599",34126,"086.7 100.0",0,16.447,33.231,5.606,100.35,244.82,0.117,0.037,0.3,1.91,0.013,0.07,0.08,9,9
"857630",34127,"086.7 110.0",0,16.208,33.184,5.68,101.16,248.11,0.1,0.027,0.4,2.52,0.036,0.06,0.07,9,9
"857661",34128,"086.8 032.5",0,15.275,33.5391,5.827,102.09,254.38,2.374,0.583,0.55,2.61,0.186,1.41,0.86,9,9
"857666",34129,"088.5 030.1",0,15.168,33.281,5.986,104.49,261.37,3.178,0.517,0.44,2.3,0.102,0.53,0.12,9,9
"857672",34130,"090.0 027.7",0,15.835,33.576,5.673,100.53,247.63,1.257,0.297,0.43,3.14,0.119,0.5,0.26,9,9
"857677",34131,"090.0 028.0",0,15.868,33.5686,5.664,100.44,247.23,1.274,0.237,0.44,3.26,0.105,0.33,0.05,9,9
"857686",34132,"090.0 030.0",0,15.934,33.6071,5.597,99.4,244.35,0.973,0.427,0.41,3.04,0.054,0.15,0.04,NA,NA
"857724",34133,"090.0 035.0",0,16.226,33.6116,5.55,99.14,242.3,0.787,0.274,0.39,3.11,0.04,0.17,0,9,9
"857751",34134,"090.0 037.0",0,15.842,33.5659,5.662,100.35,247.18,0.839,0.254,0.39,3.19,0.043,0.28,0.09,9,9
"857786",34135,"090.0 045.0",0,15.702,33.5282,5.778,102.1,251.83,0.773,0.275,0.37,2.57,0.014,0.03,0.06,9,9
"857818",34136,"090.0 053.0",0,15.114,33.4547,5.838,101.9,254.93,0.843,0.256,0.62,2.24,0.06,0.44,11.29,9,9
